Ministry of Finance Economic Survey,,,,,,
http://indiabudget.nic.in/,,,,,,
Year,State,Person,Male,Female,Health Exp,Units
2009,Nagaland,26,23,28,"12,074",Lakh
2009,Orissa,65,65,66,"80,020",Lakh
2009,Puducherry,22,25,20,"15,794",Lakh
2009,Punjab,38,37,39,"75,102",Lakh
2009,Rajasthan,59,58,61,"1,68,289",Lakh
2009,Sikkim,34,35,33,"7,516",Lakh
2009,Tamil Nadu,28,27,29,"1,89,506",Lakh
2009,Tripura,31,33,30,"12,688",Lakh
2009,Uttar Pradesh,63,62,65,"2,87,571",Lakh
2009,Uttarakhand,41,41,42,"9,525",Lakh
2009,West Bengal,33,33,33,"1,76,413",Lakh
2010,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
2010,Andhra Pradesh,46,44,47,"28,005.20",R million
2010,Arunachal Pradesh,31,31,32,"1,980.20",R million
2010,Assam,58,56,60,"12,885.80",R million
2010,Bihar,48,46,50,"11,733.90",R million
2010,Chandigarh,NA,NA,NA,NA,NA
2010,Chhatisgarh,51,48,54,"5,901.10",R million
2010,Dadra & Nagar Haveli,NA,NA,NA,NA,NA
2010,Daman & Diu,NA,NA,NA,NA,NA
2010,Delhi,30,29,31,"18,166.30",R million
2010,Goa,10,6,15,"2,671.70",R million
2010,Gujarat,44,41,47,"16,562.10",R million
2010,Haryana,48,46,49,"9,270.50",R million
2010,Himachal Pradesh,40,35,47,"5,405.90",R million
2010,Jammu & Kashmir,43,41,45,"8,598.90",R million
2010,Jharkhand,42,41,44,"7,036.30",R million
2010,Karnataka,38,37,39,"16,244.40",R million
2010,Kerala,13,13,14,"14,561.80",R million
2010,Lakshadweep,NA,NA,NA,NA,NA
2010,Madhya Pradesh,62,62,63,"13,808.30",R million
2010,Maharashtra,28,27,29,"32,833.60",R million
2010,Manipur,14,11,16,"1,140.40",R million
2010,Meghalaya,55,55,56,"1,865.00",R million
2010,Mizoram,37,36,39,"2,349.70",R million
2010,Nagaland,23,19,28,"1,461.00",R million
2010,Orissa,61,60,61,"9,859.00",R million
2010,Puducherry,22,22,22,"2,676.90",R million
2010,Punjab,34,33,35,"8,835.60",R million
2010,Rajasthan,55,52,57,"19,058.40",R million
2010,Sikkim,30,28,32,"1,083.10",R million
2010,Tamil Nadu,24,23,24,"25,205.00",R million
2010,Tripura,27,25,29,"1,894.70",R million
2010,Uttar Pradesh,61,58,63,"35,327.70",R million
2010,Uttarakhand,38,37,39,"4,301.90",R million
2010,West Bengal,31,29,32,"26,233.80",R million
2011,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
2011,Andhra Pradesh,43,40,46,"34,492.00",R million
2011,Arunachal Pradesh,32,33,31,"1,990.40",R million
2011,Assam,55,55,56,"12,092.60",R million
2011,Bihar,44,44,45,"12,555.70",R million
2011,Chandigarh,NA,NA,NA,NA,NA
2011,Chhatisgarh,48,47,50,"6,437.90",R million
2011,Dadra & Nagar Haveli,NA,NA,NA,NA,NA
2011,Daman & Diu,NA,NA,NA,NA,NA
2011,Delhi,28,25,31,"21,603.70",R million
2011,Goa,11,7,14,"3,241.70",R million
2011,Gujarat,41,39,42,"21,074.20",R million
2011,Haryana,44,41,48,"9,654.40",R million
2011,Himachal Pradesh,38,36,39,"6,800.40",R million
2011,Jammu & Kashmir,41,40,41,"9,585.30",R million
2011,Jharkhand,39,36,43,"6,683.60",R million
2011,Karnataka,35,34,35,"20,450.50",R million
2011,Kerala,12,11,13,"17,488.50",R million
2011,Lakshadweep,NA,NA,NA,NA,NA
2011,Madhya Pradesh,59,57,62,"17,839.10",R million
2011,Maharashtra,25,24,25,"39,841.70",R million
2011,Manipur,11,8,15,"1,934.20",R million
2011,Meghalaya,52,52,52,"2,497.80",R million
2011,Mizoram,34,31,37,"1,504.30",R million
2011,Nagaland,21,15,26,"1,886.60",R million
2011,Orissa,57,55,58,"10,330.70",R million
2011,Puducherry,19,17,20,"2,753.90",R million
2011,Punjab,30,28,33,"10,708.00",R million
2011,Rajasthan,52,50,53,"20,474.40",R million
2011,Sikkim,26,23,30,"1,041.50",R million
2011,Tamil Nadu,22,21,23,"33,955.80",R million
2011,Tripura,29,29,29,"1,837.30",R million
2011,Uttar Pradesh,57,55,59,"40,742.70",R million
2011,Uttarakhand,36,34,38,"5,541.40",R million
2011,West Bengal,32,30,34,"28,599.60",R million
2012,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
2012,Andhra Pradesh,41,40,43,"41,930.50",R million
2012,Arunachal Pradesh,33,32,35,"2,300.20",R million
2012,Assam,55,54,57,"12,907.70",R million
2012,Bihar,43,42,45,"15,037.80",R million
2012,Chandigarh,NA,NA,NA,NA,NA
2012,Chhatisgarh,47,46,47,"8,356.50",R million
2012,Dadra & Nagar Haveli,NA,NA,NA,NA,NA
2012,Daman & Diu,NA,NA,NA,NA,NA
2012,Delhi,25,24,26,"24,285.60",R million
2012,Goa,10,8,12,"3,701.40",R million
2012,Gujarat,38,36,39,"22,192.80",R million
2012,Haryana,42,41,44,"10,943.70",R million
2012,Himachal Pradesh,36,35,38,"6,961.60",R million
2012,Jammu & Kashmir,39,38,40,"12,066.40",R million
2012,Jharkhand,38,36,39,"7,565.70",R million
2012,Karnataka,32,30,34,"25,893.40",R million
2012,Kerala,12,10,13,"24,737.80",R million
2012,Lakshadweep,NA,NA,NA,NA,NA
2012,Madhya Pradesh,56,54,59,"21,183.30",R million
2012,Maharashtra,25,24,26,"44,840.70",R million
2012,Manipur,10,10,11,"2,346.60",R million
2012,Meghalaya,49,48,50,"2,566.20",R million
2012,Mizoram,35,33,37,"1,673.20",R million
2012,Nagaland,18,15,22,"2,178.00",R million
2012,Orissa,53,52,54,"11,293.40",R million
2012,Puducherry,17,15,18,"3,045.80",R million
2012,Punjab,28,27,29,"13,981.00",R million
2012,Rajasthan,49,47,51,"25,119.90",R million
2012,Sikkim,24,22,27,"1,139.70",R million
2012,Tamil Nadu,21,21,22,"35,390.20",R million
2012,Tripura,28,26,29,"2,007.70",R million
2012,Uttar Pradesh,53,52,55,"43,712.90",R million
2012,Uttarakhand,34,33,35,"6,189.30",R million
2012,West Bengal,32,31,33,"31,234.70",R million
2013,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
2013,Andhra Pradesh,39,39,40,"41,716.00",R million
2013,Arunachal Pradesh,32,32,33,"2,458.40",R million
2013,Assam,54,53,55,"13,405.90",R million
2013,Bihar,42,40,43,"15,117.20",R million
2013,Chandigarh,NA,NA,NA,NA,NA
2013,Chhatisgarh,46,45,47,"9,906.20",R million
2013,Dadra & Nagar Haveli,NA,NA,NA,NA,NA
2013,Daman & Diu,NA,NA,NA,NA,NA
2013,Delhi,24,23,25,"24,280.60",R million
2013,Goa,9,8,10,"4,035.10",R million
2013,Gujarat,36,35,37,"28,867.60",R million
2013,Haryana,41,40,42,"14,727.90",R million
2013,Himachal Pradesh,35,33,36,"8,280.50",R million
2013,Jammu & Kashmir,37,36,38,"13,008.90",R million
2013,Jharkhand,37,35,38,"7,282.90",R million
2013,Karnataka,31,30,32,"31,394.80",R million
2013,Kerala,12,10,13,"27,893.60",R million
2013,Lakshadweep,NA,NA,NA,NA,NA
2013,Madhya Pradesh,54,52,55,"27,783.00",R million
2013,Maharashtra,24,23,25,"53,500.50",R million
2013,Manipur,10,9,10,"2,450.00",R million
2013,Meghalaya,47,46,48,"3,047.50",R million
2013,Mizoram,35,33,37,"1,865.90",R million
2013,Nagaland,18,14,23,"2,488.30",R million
2013,Orissa,51,50,52,"14,673.40",R million
2013,Puducherry,17,15,19,"2,890.20",R million
2013,Punjab,26,25,27,"16,225.60",R million
2013,Rajasthan,47,45,49,"29,214.40",R million
2013,Sikkim,22,20,25,"1,256.70",R million
2013,Tamil Nadu,21,20,21,"41,340.20",R million
2013,Tripura,26,22,30,"2,093.60",R million
2013,Uttar Pradesh,50,49,52,"50,682.00",R million
2013,Uttarakhand,32,30,33,"7,227.20",R million
2013,West Bengal,31,30,33,"34,466.40",R million
2014,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
2014,Andhra Pradesh,37,36,38,"48,074.20",R million
2014,Arunachal Pradesh,30,31,30,"2,988.40",R million
2014,Assam,47,47,47,"15,105.00",R million
2014,Bihar,42,36,50,"17,526.90",R million
2014,Chandigarh,NA,NA,NA,NA,NA
2014,Chhatisgarh,41,40,41,"12,751.50",R million
2014,Dadra & Nagar Haveli,NA,NA,NA,NA,NA
2014,Daman & Diu,NA,NA,NA,NA,NA
2014,Delhi,18,18,19,"25,607.10",R million
2014,Goa,9,8,11,"4,344.90",R million
2014,Gujarat,33,33,34,"28,792.30",R million
2014,Haryana,36,36,37,"15,702.70",R million
2014,Himachal Pradesh,28,28,27,"8,666.30",R million
2014,Jammu & Kashmir,26,25,27,"14,831.10",R million
2014,Jharkhand,32,30,35,"8,987.00",R million
2014,Karnataka,28,26,30,"35,892.10",R million
2014,Kerala,12,10,13,"31,533.60",R million
2014,Lakshadweep,NA,NA,NA,NA,NA
2014,Madhya Pradesh,50,51,48,"28,928.90",R million
2014,Maharashtra,21,19,22,"61,970.40",R million
2014,Manipur,45,46,47,"2,773.00",R million
2014,Meghalaya,42,42,43,"3,212.90",R million
2014,Mizoram,32,32,33,"2,183.00",R million
2014,Nagaland,12,10,15,"2,622.90",R million
2014,Orissa,46,45,47,"16,309.80",R million
2014,Puducherry,11,8,14,"3,434.40",R million
2014,Punjab,23,22,24,"17,122.20",R million
2014,Rajasthan,43,40,47,"34,656.70",R million
2014,Sikkim,18,15,21,"1,445.80",R million
2014,Tamil Nadu,19,19,19,"44,865.10",R million
2014,Tripura,20,19,21,"2,706.20",R million
2014,Uttar Pradesh,46,44,48,"54,709.50",R million
2014,Uttarakhand,34,31,38,"8,015.10",R million
2014,West Bengal,26,25,28,"37,173.80",R million
